Company Name,Industry,Symbol,Series,ISIN Code
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
Larsen & Toubro Infotech Ltd.,Information Technology,LTI,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
MindTree Ltd.,Information Technology,MINDTREE,EQ,INE018I01017
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01012
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
